Region,Code,Name,CC Adult Open_43801,CC Adult Occ_43801,Occupancy rate_43801,CC Adult Open_43802,CC Adult Occ_43802,Occupancy rate_43802,CC Adult Open_43803,CC Adult Occ_43803,Occupancy rate_43803,CC Adult Open_43804,CC Adult Occ_43804,Occupancy rate_43804,CC Adult Open_43805,CC Adult Occ_43805,Occupancy rate_43805,CC Adult Open_43806,CC Adult Occ_43806,Occupancy rate_43806,CC Adult Open_43807,CC Adult Occ_43807,Occupancy rate_43807,CC Adult Open_43808,CC Adult Occ_43808,Occupancy rate_43808,CC Adult Open_43809,CC Adult Occ_43809,Occupancy rate_43809,CC Adult Open_43810,CC Adult Occ_43810,Occupancy rate_43810,CC Adult Open_43811,CC Adult Occ_43811,Occupancy rate_43811,CC Adult Open_43812,CC Adult Occ_43812,Occupancy rate_43812,CC Adult Open_43813,CC Adult Occ_43813,Occupancy rate_43813,CC Adult Open_43814,CC Adult Occ_43814,Occupancy rate_43814,CC Adult Open_43815,CC Adult Occ_43815,Occupancy rate_43815,CC Adult Open_43816,CC Adult Occ_43816,Occupancy rate_43816,CC Adult Open_43817,CC Adult Occ_43817,Occupancy rate_43817,CC Adult Open_43818,CC Adult Occ_43818,Occupancy rate_43818,CC Adult Open_43819,CC Adult Occ_43819,Occupancy rate_43819,CC Adult Open_43820,CC Adult Occ_43820,Occupancy rate_43820,CC Adult Open_43821,CC Adult Occ_43821,Occupancy rate_43821,CC Adult Open_43822,CC Adult Occ_43822,Occupancy rate_43822,CC Adult Open_43823,CC Adult Occ_43823,Occupancy rate_43823,CC Adult Open_43824,CC Adult Occ_43824,Occupancy rate_43824,CC Adult Open_43825,CC Adult Occ_43825,Occupancy rate_43825,CC Adult Open_43826,CC Adult Occ_43826,Occupancy rate_43826,CC Adult Open_43827,CC Adult Occ_43827,Occupancy rate_43827,CC Adult Open_43828,CC Adult Occ_43828,Occupancy rate_43828,CC Adult Open_43829,CC Adult Occ_43829,Occupancy rate_43829,CC Adult Open_43830,CC Adult Occ_43830,Occupancy rate_43830,CC Adult Open_43831,CC Adult Occ_43831,Occupancy rate_43831,CC Adult Open_43832,CC Adult Occ_43832,Occupancy rate_43832,CC Adult Open_43833,CC Adult Occ_43833,Occupancy rate_43833,CC Adult Open_43834,CC Adult Occ_43834,Occupancy rate_43834,CC Adult Open_43835,CC Adult Occ_43835,Occupancy rate_43835,CC Adult Open_43836,CC Adult Occ_43836,Occupancy rate_43836,CC Adult Open_43837,CC Adult Occ_43837,Occupancy rate_43837,CC Adult Open_43838,CC Adult Occ_43838,Occupancy rate_43838,CC Adult Open_43839,CC Adult Occ_43839,Occupancy rate_43839,CC Adult Open_43840,CC Adult Occ_43840,Occupancy rate_43840,CC Adult Open_43841,CC Adult Occ_43841,Occupancy rate_43841,CC Adult Open_43842,CC Adult Occ_43842,Occupancy rate_43842,CC Adult Open_43843,CC Adult Occ_43843,Occupancy rate_43843,CC Adult Open_43844,CC Adult Occ_43844,Occupancy rate_43844,CC Adult Open_43845,CC Adult Occ_43845,Occupancy rate_43845,CC Adult Open_43846,CC Adult Occ_43846,Occupancy rate_43846,CC Adult Open_43847,CC Adult Occ_43847,Occupancy rate_43847,CC Adult Open_43848,CC Adult Occ_43848,Occupancy rate_43848,CC Adult Open_43849,CC Adult Occ_43849,Occupancy rate_43849,CC Adult Open_43850,CC Adult Occ_43850,Occupancy rate_43850,CC Adult Open_43851,CC Adult Occ_43851,Occupancy rate_43851,CC Adult Open_43852,CC Adult Occ_43852,Occupancy rate_43852,CC Adult Open_43853,CC Adult Occ_43853,Occupancy rate_43853,CC Adult Open_43854,CC Adult Occ_43854,Occupancy rate_43854,CC Adult Open_43855,CC Adult Occ_43855,Occupancy rate_43855,CC Adult Open_43856,CC Adult Occ_43856,Occupancy rate_43856,CC Adult Open_43857,CC Adult Occ_43857,Occupancy rate_43857,CC Adult Open_43858,CC Adult Occ_43858,Occupancy rate_43858,CC Adult Open_43859,CC Adult Occ_43859,Occupancy rate_43859,CC Adult Open_43860,CC Adult Occ_43860,Occupancy rate_43860,CC Adult Open_43861,CC Adult Occ_43861,Occupancy rate_43861,CC Adult Open_43862,CC Adult Occ_43862,Occupancy rate_43862,CC Adult Open_43863,CC Adult Occ_43863,Occupancy rate_43863,CC Adult Open_43864,CC Adult Occ_43864,Occupancy rate_43864,CC Adult Open_43865,CC Adult Occ_43865,Occupancy rate_43865,CC Adult Open_43866,CC Adult Occ_43866,Occupancy rate_43866,CC Adult Open_43867,CC Adult Occ_43867,Occupancy rate_43867,CC Adult Open_43868,CC Adult Occ_43868,Occupancy rate_43868,CC Adult Open_43869,CC Adult Occ_43869,Occupancy rate_43869,CC Adult Open_43870,CC Adult Occ_43870,Occupancy rate_43870,CC Adult Open_43871,CC Adult Occ_43871,Occupancy rate_43871,CC Adult Open_43872,CC Adult Occ_43872,Occupancy rate_43872,CC Adult Open_43873,CC Adult Occ_43873,Occupancy rate_43873,CC Adult Open_43874,CC Adult Occ_43874,Occupancy rate_43874,CC Adult Open_43875,CC Adult Occ_43875,Occupancy rate_43875,CC Adult Open_43876,CC Adult Occ_43876,Occupancy rate_43876,CC Adult Open_43877,CC Adult Occ_43877,Occupancy rate_43877,CC Adult Open_43878,CC Adult Occ_43878,Occupancy rate_43878,CC Adult Open_43879,CC Adult Occ_43879,Occupancy rate_43879,CC Adult Open_43880,CC Adult Occ_43880,Occupancy rate_43880,CC Adult Open_43881,CC Adult Occ_43881,Occupancy rate_43881,CC Adult Open_43882,CC Adult Occ_43882,Occupancy rate_43882,CC Adult Open_43883,CC Adult Occ_43883,Occupancy rate_43883,CC Adult Open_43884,CC Adult Occ_43884,Occupancy rate_43884,CC Adult Open_43885,CC Adult Occ_43885,Occupancy rate_43885,CC Adult Open_43886,CC Adult Occ_43886,Occupancy rate_43886,CC Adult Open_43887,CC Adult Occ_43887,Occupancy rate_43887,CC Adult Open_43888,CC Adult Occ_43888,Occupancy rate_43888,CC Adult Open_43889,CC Adult Occ_43889,Occupancy rate_43889,CC Adult Open_43890,CC Adult Occ_43890,Occupancy rate_43890,CC Adult Open_43891,CC Adult Occ_43891,Occupancy rate_43891
East Of England Commissioning Region,RGR,West Suffolk NHS Foundation Trust,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,6,66.70%,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,6,66.70%,9,6,66.70%,9,6,66.70%,9,5,55.60%,9,7,77.80%,9,7,77.80%,9,8,88.90%,9,8,88.90%,9,6,66.70%,9,6,66.70%,9,8,88.90%,9,7,77.80%,9,6,66.70%,9,6,66.70%,9,2,22.20%,9,3,33.30%,9,4,44.40%,9,6,66.70%,9,8,88.90%,9,9,100.00%,10,10,100.00%,9,9,100.00%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,7,77.80%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,10,10,100.00%,9,9,100.00%,10,10,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,6,66.70%,9,6,66.70%,9,7,77.80%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,7,77.80%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,6,66.70%,9,6,66.70%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,8,88.90%,10,10,100.00%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,6,66.70%,9,5,55.60%,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,8,88.90%,9,8,88.90%,9,6,66.70%,9,7,77.80%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,7,77.80%,9,8,88.90%,9,6,66.70%,9,4,44.40%,9,5,55.60%,9,4,44.40%,9,4,44.40%,9,5,55.60%,9,5,55.60%,9,5,55.60%,9,3,33.30%,9,3,33.30%
Midlands  Commissioning Region,RQ3,Birmingham Women's and Children's NHS Foundation Trust,4,4,100.00%,4,2,50.00%,5,5,100.00%,4,2,50.00%,4,3,75.00%,4,2,50.00%,4,1,25.00%,4,1,25.00%,4,1,25.00%,4,2,50.00%,4,1,25.00%,4,4,100.00%,5,5,100.00%,5,5,100.00%,4,3,75.00%,4,3,75.00%,4,4,100.00%,5,5,100.00%,4,3,75.00%,4,3,75.00%,4,4,100.00%,4,3,75.00%,4,1,25.00%,4,1,25.00%,4,3,75.00%,4,3,75.00%,4,2,50.00%,4,3,75.00%,4,4,100.00%,4,3,75.00%,5,5,100.00%,4,1,25.00%,4,2,50.00%,4,3,75.00%,5,5,100.00%,4,4,100.00%,4,1,25.00%,4,3,75.00%,4,2,50.00%,4,3,75.00%,4,3,75.00%,4,4,100.00%,4,2,50.00%,4,3,75.00%,5,5,100.00%,4,4,100.00%,4,2,50.00%,4,3,75.00%,4,4,100.00%,4,2,50.00%,4,3,75.00%,5,5,100.00%,4,3,75.00%,4,2,50.00%,4,3,75.00%,6,6,100.00%,6,6,100.00%,4,3,75.00%,5,2,40.00%,4,4,100.00%,6,6,100.00%,4,4,100.00%,6,5,83.30%,4,1,25.00%,5,5,100.00%,4,4,100.00%,6,6,100.00%,5,5,100.00%,4,3,75.00%,4,2,50.00%,4,2,50.00%,4,3,75.00%,4,2,50.00%,4,2,50.00%,4,1,25.00%,4,3,75.00%,5,5,100.00%,5,5,100.00%,5,5,100.00%,5,5,100.00%,6,6,100.00%,4,3,75.00%,4,3,75.00%,5,5,100.00%,4,4,100.00%,4,4,100.00%,4,4,100.00%,4,3,75.00%,5,5,100.00%,6,6,100.00%,6,6,100.00%
Midlands  Commissioning Region,RFS,Chesterfield Royal Hospital NHS Foundation Trust,15,13,86.70%,15,12,80.00%,15,13,86.70%,15,14,93.30%,15,14,93.30%,15,13,86.70%,15,14,93.30%,15,9,60.00%,15,12,80.00%,15,13,86.70%,15,13,86.70%,15,13,86.70%,15,14,93.30%,15,1,6.70%,15,12,80.00%,15,14,93.30%,15,15,100.00%,15,14,93.30%,15,13,86.70%,15,14,93.30%,15,15,100.00%,15,15,100.00%,15,15,100.00%,15,15,100.00%,15,15,100.00%,15,15,100.00%,15,15,100.00%,15,15,100.00%,15,12,80.00%,15,12,80.00%,15,13,86.70%,15,15,100.00%,15,14,93.30%,15,14,93.30%,15,12,80.00%,15,14,93.30%,15,13,86.70%,15,15,100.00%,15,14,93.30%,15,15,100.00%,15,12,80.00%,15,13,86.70%,15,10,66.70%,15,14,93.30%,15,15,100.00%,15,15,100.00%,15,13,86.70%,15,14,93.30%,15,14,93.30%,15,13,86.70%,15,13,86.70%,15,12,80.00%,15,14,93.30%,15,14,93.30%,15,14,93.30%,15,14,93.30%,15,15,100.00%,15,14,93.30%,15,13,86.70%,15,13,86.70%,15,13,86.70%,15,12,80.00%,15,11,73.30%,15,12,80.00%,15,12,80.00%,15,12,80.00%,15,9,60.00%,15,7,46.70%,15,15,100.00%,15,10,66.70%,15,11,73.30%,15,12,80.00%,15,13,86.70%,15,13,86.70%,15,14,93.30%,15,13,86.70%,15,14,93.30%,15,14,93.30%,15,11,73.30%,15,13,86.70%,15,14,93.30%,15,12,80.00%,15,10,66.70%,15,10,66.70%,15,11,73.30%,15,10,66.70%,15,15,100.00%,15,12,80.00%,15,14,93.30%,15,14,93.30%,15,10,66.70%
Midlands  Commissioning Region,RLT,George Eliot Hospital NHS Trust,8,6,75.00%,8,6,75.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,5,62.50%,8,6,75.00%,8,5,62.50%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,5,62.50%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,5,62.50%,8,5,62.50%,8,6,75.00%,8,6,75.00%,8,7,87.50%,8,8,100.00%,8,6,75.00%,8,6,75.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,8,100.00%,8,6,75.00%,8,8,100.00%,8,4,50.00%,8,5,62.50%,8,5,62.50%,8,7,87.50%,8,5,62.50%,8,5,62.50%,8,4,50.00%,8,5,62.50%,8,4,50.00%,8,5,62.50%,8,6,75.00%,8,6,75.00%,8,5,62.50%,8,7,87.50%,8,8,100.00%,8,6,75.00%,8,7,87.50%,8,4,50.00%,8,6,75.00%,8,6,75.00%,8,8,100.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,4,50.00%,8,4,50.00%,8,5,62.50%,8,4,50.00%,8,4,50.00%,8,5,62.50%,8,8,100.00%,8,5,62.50%,8,5,62.50%,8,5,62.50%,8,6,75.00%,8,5,62.50%,8,5,62.50%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,6,75.00%,8,7,87.50%,8,7,87.50%,8,8,100.00%,8,6,75.00%,8,7,87.50%,8,6,75.00%,8,7,87.50%,8,7,87.50%
Midlands  Commissioning Region,RNQ,Kettering General Hospital NHS Foundation Trust,12,10,83.30%,12,12,100.00%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,12,100.00%,12,12,100.00%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,9,75.00%,12,10,83.30%,12,11,91.70%,12,12,100.00%,12,10,83.30%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,12,100.00%,12,9,75.00%,12,10,83.30%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,12,100.00%,12,12,100.00%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,12,100.00%,12,9,75.00%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,11,91.70%,12,10,83.30%,12,9,75.00%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,10,83.30%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,9,75.00%,12,11,91.70%,12,11,91.70%,12,11,91.70%,12,10,83.30%,12,12,100.00%,12,11,91.70%,12,12,100.00%,12,11,91.70%,12,11,91.70%,12,12,100.00%,12,12,100.00%,12,12,100.00%,12,12,100.00%,12,10,83.30%,12,10,83.30%,12,11,91.70%,12,10,83.30%,12,10,83.30%,12,12,100.00%
Midlands  Commissioning Region,RNS,Northampton General Hospital NHS Trust,16,12,75.00%,16,14,87.50%,16,13,81.30%,16,12,75.00%,16,10,62.50%,16,11,68.80%,16,13,81.30%,16,15,93.80%,16,13,81.30%,16,10,62.50%,16,12,75.00%,16,13,81.30%,16,12,75.00%,16,13,81.30%,16,13,81.30%,16,15,93.80%,16,15,93.80%,16,13,81.30%,16,13,81.30%,16,12,75.00%,16,13,81.30%,16,11,68.80%,16,11,68.80%,16,11,68.80%,16,9,56.30%,16,11,68.80%,16,14,87.50%,16,13,81.30%,16,15,93.80%,16,13,81.30%,16,15,93.80%,16,16,100.00%,16,11,68.80%,16,9,56.30%,16,13,81.30%,16,13,81.30%,16,13,81.30%,16,13,81.30%,16,11,68.80%,16,13,81.30%,16,13,81.30%,16,14,87.50%,16,15,93.80%,16,15,93.80%,16,14,87.50%,16,12,75.00%,16,13,81.30%,16,12,75.00%,16,13,81.30%,16,12,75.00%,16,11,68.80%,16,10,62.50%,16,11,68.80%,16,11,68.80%,16,10,62.50%,16,10,62.50%,16,10,62.50%,16,12,75.00%,16,11,68.80%,16,10,62.50%,16,12,75.00%,16,11,68.80%,16,13,81.30%,16,11,68.80%,16,13,81.30%,16,13,81.30%,16,11,68.80%,16,14,87.50%,16,11,68.80%,16,10,62.50%,16,11,68.80%,16,12,75.00%,16,13,81.30%,16,14,87.50%,16,13,81.30%,16,13,81.30%,16,14,87.50%,16,15,93.80%,16,15,93.80%,16,15,93.80%,16,14,87.50%,16,14,87.50%,16,14,87.50%,16,15,93.80%,16,13,81.30%,16,14,87.50%,16,13,81.30%,16,11,68.80%,16,12,75.00%,16,13,81.30%,16,13,81.30%
Midlands  Commissioning Region,RX1,Nottingham University Hospitals NHS Trust,58,50,86.20%,58,53,91.40%,58,53,91.40%,58,57,98.30%,58,57,98.30%,58,57,98.30%,58,54,93.10%,55,52,94.50%,58,55,94.80%,58,57,98.30%,58,31,53.40%,58,58,100.00%,58,54,93.10%,58,54,93.10%,58,56,96.60%,58,57,98.30%,58,54,93.10%,58,57,98.30%,58,56,96.60%,58,53,91.40%,58,50,86.20%,58,52,89.70%,58,51,87.90%,58,48,82.80%,58,53,91.40%,58,53,91.40%,58,51,87.90%,58,51,87.90%,58,51,87.90%,58,56,96.60%,58,53,91.40%,58,54,93.10%,59,58,98.30%,58,53,91.40%,58,49,84.50%,58,46,79.30%,58,46,79.30%,58,48,82.80%,58,49,84.50%,58,48,82.80%,58,49,84.50%,58,42,72.40%,58,44,75.90%,58,41,70.70%,58,43,74.10%,58,38,65.50%,58,38,65.50%,58,33,56.90%,58,36,62.10%,58,46,79.30%,58,45,77.60%,58,48,82.80%,58,49,84.50%,58,52,89.70%,58,48,82.80%,58,38,65.50%,58,44,75.90%,58,49,84.50%,58,50,86.20%,58,43,74.10%,58,50,86.20%,58,55,94.80%,58,49,84.50%,58,52,89.70%,58,54,93.10%,58,52,89.70%,58,55,94.80%,58,53,91.40%,58,51,87.90%,58,46,79.30%,58,49,84.50%,58,47,81.00%,58,49,84.50%,58,52,89.70%,58,56,96.60%,58,48,82.80%,58,49,84.50%,58,45,77.60%,58,42,72.40%,58,45,77.60%,58,46,79.30%,58,50,86.20%,58,53,91.40%,58,48,82.80%,58,49,84.50%,58,48,82.80%,58,48,82.80%,58,51,87.90%,58,49,84.50%,58,47,81.00%,58,46,79.30%
Midlands  Commissioning Region,RXK,Sandwell and West Birmingham Hospitals NHS Trust,21,18,85.70%,16,15,93.80%,17,15,88.20%,15,12,80.00%,18,14,77.80%,18,12,66.70%,18,13,72.20%,20,16,80.00%,21,16,76.20%,18,14,77.80%,16,14,87.50%,18,18,100.00%,21,20,95.20%,22,21,95.50%,22,21,95.50%,22,20,90.90%,22,22,100.00%,21,20,95.20%,19,17,89.50%,19,16,84.20%,19,19,100.00%,20,18,90.00%,19,16,84.20%,20,16,80.00%,21,15,71.40%,20,18,90.00%,20,15,75.00%,21,16,76.20%,20,19,95.00%,20,16,80.00%,18,17,94.40%,20,19,95.00%,22,20,90.90%,21,20,95.20%,23,21,91.30%,24,23,95.80%,24,24,100.00%,22,22,100.00%,23,22,95.70%,21,20,95.20%,19,19,100.00%,20,19,95.00%,21,20,95.20%,19,17,89.50%,19,18,94.70%,19,18,94.70%,17,14,82.40%,18,16,88.90%,19,19,100.00%,19,19,100.00%,21,20,95.20%,24,21,87.50%,21,21,100.00%,20,16,80.00%,22,20,90.90%,20,17,85.00%,20,16,80.00%,20,18,90.00%,21,17,81.00%,19,17,89.50%,21,19,90.50%,22,17,77.30%,21,18,85.70%,22,20,90.90%,25,22,88.00%,25,24,96.00%,24,20,83.30%,21,20,95.20%,22,21,95.50%,22,20,90.90%,24,21,87.50%,22,20,90.90%,23,15,65.20%,24,13,54.20%,21,15,71.40%,20,14,70.00%,17,13,76.50%,16,12,75.00%,20,13,65.00%,19,14,73.70%,19,14,73.70%,19,16,84.20%,18,12,66.70%,16,11,68.80%,17,11,64.70%,19,16,84.20%,15,9,60.00%,15,9,60.00%,16,10,62.50%,17,12,70.60%,17,11,64.70%
Midlands  Commissioning Region,RK5,Sherwood Forest Hospitals NHS Foundation Trust,11,8,72.70%,11,6,54.50%,11,9,81.80%,12,12,100.00%,12,12,100.00%,12,12,100.00%,11,9,81.80%,11,9,81.80%,11,11,100.00%,11,11,100.00%,12,12,100.00%,12,12,100.00%,12,12,100.00%,11,11,100.00%,11,11,100.00%,12,12,100.00%,13,13,100.00%,11,11,100.00%,11,11,100.00%,11,11,100.00%,11,9,81.80%,11,9,81.80%,11,9,81.80%,11,9,81.80%,11,10,90.90%,11,10,90.90%,11,10,90.90%,12,12,100.00%,15,15,100.00%,11,11,100.00%,11,11,100.00%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,9,81.80%,11,9,81.80%,11,11,100.00%,12,12,100.00%,12,12,100.00%,12,12,100.00%,11,11,100.00%,14,14,100.00%,13,13,100.00%,11,8,72.70%,11,9,81.80%,11,9,81.80%,11,9,81.80%,11,9,81.80%,11,7,63.60%,11,5,45.50%,11,9,81.80%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,8,72.70%,11,10,90.90%,11,11,100.00%,11,8,72.70%,11,9,81.80%,11,9,81.80%,11,9,81.80%,11,9,81.80%,12,12,100.00%,11,11,100.00%,11,7,63.60%,11,8,72.70%,11,8,72.70%,11,8,72.70%,11,5,45.50%,11,9,81.80%,11,7,63.60%,11,7,63.60%,11,8,72.70%,11,8,72.70%,11,8,72.70%,11,5,45.50%,11,8,72.70%,11,8,72.70%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,10,90.90%,11,5,45.50%,11,3,27.30%,11,3,27.30%,11,5,45.50%,11,6,54.50%,11,6,54.50%,11,6,54.50%,11,7,63.60%
Midlands  Commissioning Region,RXW,Shrewsbury and Telford Hospital NHS Trust,19,17,89.50%,19,16,84.20%,18,14,77.80%,16,14,87.50%,19,14,73.70%,17,13,76.50%,18,16,88.90%,19,16,84.20%,18,16,88.90%,19,17,89.50%,19,18,94.70%,18,16,88.90%,18,16,88.90%,19,18,94.70%,19,17,89.50%,20,18,90.00%,18,14,77.80%,17,14,82.40%,19,17,89.50%,18,16,88.90%,18,17,94.40%,19,18,94.70%,18,17,94.40%,17,15,88.20%,18,16,88.90%,20,16,80.00%,21,18,85.70%,19,16,84.20%,21,19,90.50%,20,17,85.00%,21,19,90.50%,19,18,94.70%,19,16,84.20%,20,20,100.00%,20,19,95.00%,19,18,94.70%,17,15,88.20%,19,18,94.70%,19,17,89.50%,19,15,78.90%,20,16,80.00%,19,16,84.20%,20,16,80.00%,21,19,90.50%,19,16,84.20%,20,18,90.00%,19,17,89.50%,21,18,85.70%,21,18,85.70%,21,19,90.50%,18,16,88.90%,17,14,82.40%,14,9,64.30%,17,12,70.60%,16,10,62.50%,19,14,73.70%,14,9,64.30%,17,12,70.60%,18,13,72.20%,20,16,80.00%,19,16,84.20%,17,12,70.60%,17,12,70.60%,17,11,64.70%,17,12,70.60%,16,13,81.30%,18,14,77.80%,17,12,70.60%,17,13,76.50%,18,12,66.70%,17,12,70.60%,17,14,82.40%,19,13,68.40%,18,15,83.30%,16,12,75.00%,16,9,56.30%,17,9,52.90%,18,13,72.20%,18,13,72.20%,18,12,66.70%,17,11,64.70%,19,15,78.90%,20,16,80.00%,20,16,80.00%,18,12,66.70%,18,12,66.70%,18,12,66.70%,18,13,72.20%,21,17,81.00%,22,19,86.40%,20,17,85.00%
Midlands  Commissioning Region,RJC,South Warwickshire NHS Foundation Trust,7,4,57.10%,7,4,57.10%,7,5,71.40%,7,5,71.40%,7,4,57.10%,7,0,0.00%,7,0,0.00%,7,5,71.40%,7,4,57.10%,7,5,71.40%,7,6,85.70%,7,6,85.70%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,7,100.00%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,5,71.40%,7,4,57.10%,7,5,71.40%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,6,85.70%,7,4,57.10%,7,3,42.90%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,7,100.00%,7,5,71.40%,7,5,71.40%,7,6,85.70%,7,3,42.90%,7,3,42.90%,7,4,57.10%,7,3,42.90%,7,1,14.30%,7,3,42.90%,7,4,57.10%,7,2,28.60%,7,4,57.10%,7,3,42.90%,7,4,57.10%,7,3,42.90%,7,2,28.60%,7,4,57.10%,7,1,14.30%,7,6,85.70%,7,6,85.70%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,6,85.70%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,5,71.40%,7,4,57.10%,7,4,57.10%,7,4,57.10%,7,3,42.90%,7,0,0.00%,7,5,71.40%,7,4,57.10%,7,6,85.70%,7,5,71.40%,7,4,57.10%,7,4,57.10%,7,4,57.10%,7,4,57.10%,7,2,28.60%,7,4,57.10%,7,3,42.90%,7,5,71.40%,7,4,57.10%,7,5,71.40%,7,4,57.10%,7,4,57.10%,7,4,57.10%,7,4,57.10%,7,3,42.90%,7,1,14.30%
Midlands  Commissioning Region,RNA,The Dudley Group NHS Foundation Trust,23,19,82.60%,20,17,85.00%,22,19,86.40%,23,17,73.90%,23,19,82.60%,22,19,86.40%,23,20,87.00%,22,21,95.50%,24,24,100.00%,25,24,96.00%,23,22,95.70%,22,21,95.50%,22,20,90.90%,24,22,91.70%,25,23,92.00%,25,20,80.00%,23,20,87.00%,25,24,96.00%,23,23,100.00%,24,22,91.70%,25,22,88.00%,22,17,77.30%,21,16,76.20%,22,18,81.80%,22,17,77.30%,22,17,77.30%,23,17,73.90%,22,20,90.90%,24,24,100.00%,24,23,95.80%,23,22,95.70%,23,20,87.00%,24,20,83.30%,23,18,78.30%,24,21,87.50%,24,21,87.50%,23,21,91.30%,21,20,95.20%,22,21,95.50%,24,21,87.50%,24,20,83.30%,23,21,91.30%,24,23,95.80%,23,21,91.30%,25,23,92.00%,24,24,100.00%,24,24,100.00%,25,24,96.00%,24,23,95.80%,21,17,81.00%,21,18,85.70%,22,21,95.50%,23,21,91.30%,21,18,85.70%,20,13,65.00%,20,15,75.00%,22,19,86.40%,22,20,90.90%,21,21,100.00%,21,19,90.50%,20,18,90.00%,22,19,86.40%,24,21,87.50%,23,22,95.70%,21,19,90.50%,23,22,95.70%,22,19,86.40%,22,19,86.40%,23,17,73.90%,24,20,83.30%,24,22,91.70%,23,21,91.30%,24,22,91.70%,24,24,100.00%,23,23,100.00%,23,21,91.30%,24,22,91.70%,24,23,95.80%,23,22,95.70%,23,22,95.70%,22,21,95.50%,22,19,86.40%,24,19,79.20%,24,21,87.50%,24,23,95.80%,24,21,87.50%,23,21,91.30%,22,20,90.90%,24,24,100.00%,23,21,91.30%,24,21,87.50%
