Code,Name,CC Adult Open_43437,CC Adult Occ_43437,Occupancy rate_43437,CC Adult Open_43438,CC Adult Occ_43438,Occupancy rate_43438,CC Adult Open_43439,CC Adult Occ_43439,Occupancy rate_43439,CC Adult Open_43440,CC Adult Occ_43440,Occupancy rate_43440,CC Adult Open_43441,CC Adult Occ_43441,Occupancy rate_43441,CC Adult Open_43442,CC Adult Occ_43442,Occupancy rate_43442,CC Adult Open_43443,CC Adult Occ_43443,Occupancy rate_43443,CC Adult Open_43444,CC Adult Occ_43444,Occupancy rate_43444,CC Adult Open_43445,CC Adult Occ_43445,Occupancy rate_43445,CC Adult Open_43446,CC Adult Occ_43446,Occupancy rate_43446,CC Adult Open_43447,CC Adult Occ_43447,Occupancy rate_43447,CC Adult Open_43448,CC Adult Occ_43448,Occupancy rate_43448,CC Adult Open_43449,CC Adult Occ_43449,Occupancy rate_43449,CC Adult Open_43450,CC Adult Occ_43450,Occupancy rate_43450,CC Adult Open_43451,CC Adult Occ_43451,Occupancy rate_43451,CC Adult Open_43452,CC Adult Occ_43452,Occupancy rate_43452,CC Adult Open_43453,CC Adult Occ_43453,Occupancy rate_43453,CC Adult Open_43454,CC Adult Occ_43454,Occupancy rate_43454,CC Adult Open_43455,CC Adult Occ_43455,Occupancy rate_43455,CC Adult Open_43456,CC Adult Occ_43456,Occupancy rate_43456,CC Adult Open_43457,CC Adult Occ_43457,Occupancy rate_43457,CC Adult Open_43458,CC Adult Occ_43458,Occupancy rate_43458,CC Adult Open_43459,CC Adult Occ_43459,Occupancy rate_43459,CC Adult Open_43460,CC Adult Occ_43460,Occupancy rate_43460,CC Adult Open_43461,CC Adult Occ_43461,Occupancy rate_43461,CC Adult Open_43462,CC Adult Occ_43462,Occupancy rate_43462,CC Adult Open_43463,CC Adult Occ_43463,Occupancy rate_43463,CC Adult Open_43464,CC Adult Occ_43464,Occupancy rate_43464,CC Adult Open_43465,CC Adult Occ_43465,Occupancy rate_43465,CC Adult Open_43466,CC Adult Occ_43466,Occupancy rate_43466,CC Adult Open_43467,CC Adult Occ_43467,Occupancy rate_43467,CC Adult Open_43468,CC Adult Occ_43468,Occupancy rate_43468,CC Adult Open_43469,CC Adult Occ_43469,Occupancy rate_43469,CC Adult Open_43470,CC Adult Occ_43470,Occupancy rate_43470,CC Adult Open_43471,CC Adult Occ_43471,Occupancy rate_43471,CC Adult Open_43472,CC Adult Occ_43472,Occupancy rate_43472,CC Adult Open_43473,CC Adult Occ_43473,Occupancy rate_43473,CC Adult Open_43474,CC Adult Occ_43474,Occupancy rate_43474,CC Adult Open_43475,CC Adult Occ_43475,Occupancy rate_43475,CC Adult Open_43476,CC Adult Occ_43476,Occupancy rate_43476,CC Adult Open_43477,CC Adult Occ_43477,Occupancy rate_43477,CC Adult Open_43478,CC Adult Occ_43478,Occupancy rate_43478,CC Adult Open_43479,CC Adult Occ_43479,Occupancy rate_43479,CC Adult Open_43480,CC Adult Occ_43480,Occupancy rate_43480,CC Adult Open_43481,CC Adult Occ_43481,Occupancy rate_43481,CC Adult Open_43482,CC Adult Occ_43482,Occupancy rate_43482,CC Adult Open_43483,CC Adult Occ_43483,Occupancy rate_43483,CC Adult Open_43484,CC Adult Occ_43484,Occupancy rate_43484,CC Adult Open_43485,CC Adult Occ_43485,Occupancy rate_43485,CC Adult Open_43486,CC Adult Occ_43486,Occupancy rate_43486,CC Adult Open_43487,CC Adult Occ_43487,Occupancy rate_43487,CC Adult Open_43488,CC Adult Occ_43488,Occupancy rate_43488,CC Adult Open_43489,CC Adult Occ_43489,Occupancy rate_43489,CC Adult Open_43490,CC Adult Occ_43490,Occupancy rate_43490,CC Adult Open_43491,CC Adult Occ_43491,Occupancy rate_43491,CC Adult Open_43492,CC Adult Occ_43492,Occupancy rate_43492,CC Adult Open_43493,CC Adult Occ_43493,Occupancy rate_43493,CC Adult Open_43494,CC Adult Occ_43494,Occupancy rate_43494,CC Adult Open_43495,CC Adult Occ_43495,Occupancy rate_43495,CC Adult Open_43496,CC Adult Occ_43496,Occupancy rate_43496,CC Adult Open_43497,CC Adult Occ_43497,Occupancy rate_43497,CC Adult Open_43498,CC Adult Occ_43498,Occupancy rate_43498,CC Adult Open_43499,CC Adult Occ_43499,Occupancy rate_43499,CC Adult Open_43500,CC Adult Occ_43500,Occupancy rate_43500,CC Adult Open_43501,CC Adult Occ_43501,Occupancy rate_43501,CC Adult Open_43502,CC Adult Occ_43502,Occupancy rate_43502,CC Adult Open_43503,CC Adult Occ_43503,Occupancy rate_43503,CC Adult Open_43504,CC Adult Occ_43504,Occupancy rate_43504,CC Adult Open_43505,CC Adult Occ_43505,Occupancy rate_43505,CC Adult Open_43506,CC Adult Occ_43506,Occupancy rate_43506,CC Adult Open_43507,CC Adult Occ_43507,Occupancy rate_43507,CC Adult Open_43508,CC Adult Occ_43508,Occupancy rate_43508,CC Adult Open_43509,CC Adult Occ_43509,Occupancy rate_43509,CC Adult Open_43510,CC Adult Occ_43510,Occupancy rate_43510,CC Adult Open_43511,CC Adult Occ_43511,Occupancy rate_43511,CC Adult Open_43512,CC Adult Occ_43512,Occupancy rate_43512,CC Adult Open_43513,CC Adult Occ_43513,Occupancy rate_43513,CC Adult Open_43514,CC Adult Occ_43514,Occupancy rate_43514,CC Adult Open_43515,CC Adult Occ_43515,Occupancy rate_43515,CC Adult Open_43516,CC Adult Occ_43516,Occupancy rate_43516,CC Adult Open_43517,CC Adult Occ_43517,Occupancy rate_43517,CC Adult Open_43518,CC Adult Occ_43518,Occupancy rate_43518,CC Adult Open_43519,CC Adult Occ_43519,Occupancy rate_43519,CC Adult Open_43520,CC Adult Occ_43520,Occupancy rate_43520,CC Adult Open_43521,CC Adult Occ_43521,Occupancy rate_43521,CC Adult Open_43522,CC Adult Occ_43522,Occupancy rate_43522,CC Adult Open_43523,CC Adult Occ_43523,Occupancy rate_43523,CC Adult Open_43524,CC Adult Occ_43524,Occupancy rate_43524,CC Adult Open_43525,CC Adult Occ_43525,Occupancy rate_43525,CC Adult Open_43526,CC Adult Occ_43526,Occupancy rate_43526,CC Adult Open_43527,CC Adult Occ_43527,Occupancy rate_43527
RX1,Nottingham University Hospitals NHS Trust,58,51,87.9%,58,50,86.2%,58,52,89.7%,58,52,89.7%,58,51,87.9%,58,50,86.2%,58,48,82.8%,58,55,94.8%,58,55,94.8%,58,55,94.8%,58,51,87.9%,59,56,94.9%,58,54,93.1%,61,56,91.8%,58,51,87.9%,58,54,93.1%,58,55,94.8%,60,57,95.0%,59,55,93.2%,58,47,81.0%,58,48,82.8%,58,50,86.2%,58,49,84.5%,58,44,75.9%,58,49,84.5%,58,45,77.6%,58,42,72.4%,58,41,70.7%,58,47,81.0%,58,42,72.4%,58,45,77.6%,58,47,81.0%,58,49,84.5%,58,47,81.0%,58,45,77.6%,58,45,77.6%,58,56,96.6%,58,53,91.4%,58,49,84.5%,58,51,87.9%,58,43,74.1%,58,41,70.7%,58,45,77.6%,58,49,84.5%,58,57,98.3%,58,54,93.1%,58,55,94.8%,58,52,89.7%,58,52,89.7%,58,55,94.8%,58,51,87.9%,58,54,93.1%,58,53,91.4%,58,49,84.5%,58,52,89.7%,58,43,74.1%,58,48,82.8%,58,52,89.7%,58,58,100.0%,58,53,91.4%,58,58,100.0%,58,56,96.6%,58,56,96.6%,58,57,98.3%,58,57,98.3%,58,57,98.3%,58,55,94.8%,58,54,93.1%,58,44,75.9%,58,51,87.9%,58,53,91.4%,58,52,89.7%,58,55,94.8%,58,54,93.1%,58,56,96.6%,58,50,86.2%,58,49,84.5%,58,51,87.9%,58,46,79.3%,58,49,84.5%,58,44,75.9%,58,49,84.5%,58,43,74.1%,58,40,69.0%,58,48,82.8%,58,53,91.4%,58,52,89.7%,58,50,86.2%,58,43,74.1%,58,49,84.5%,58,48,82.8%
RXK,Sandwell and West Birmingham Hospitals NHS Trust,23,23,100.0%,21,20,95.2%,21,20,95.2%,21,18,85.7%,19,17,89.5%,19,17,89.5%,17,15,88.2%,19,17,89.5%,20,17,85.0%,21,19,90.5%,22,21,95.5%,21,18,85.7%,18,17,94.4%,18,16,88.9%,20,18,90.0%,20,17,85.0%,19,18,94.7%,24,16,66.7%,18,16,88.9%,18,17,94.4%,18,17,94.4%,19,17,89.5%,17,16,94.1%,19,19,100.0%,20,20,100.0%,21,20,95.2%,18,18,100.0%,19,18,94.7%,20,20,100.0%,20,20,100.0%,15,15,100.0%,19,17,89.5%,21,20,95.2%,23,22,95.7%,21,21,100.0%,22,20,90.9%,23,22,95.7%,20,20,100.0%,22,21,95.5%,21,20,95.2%,21,20,95.2%,24,22,91.7%,24,23,95.8%,24,23,95.8%,24,22,91.7%,22,22,100.0%,20,20,100.0%,23,19,82.6%,20,19,95.0%,20,19,95.0%,18,14,77.8%,16,14,87.5%,19,18,94.7%,18,18,100.0%,16,15,93.8%,16,15,93.8%,21,19,90.5%,19,19,100.0%,19,19,100.0%,18,18,100.0%,17,17,100.0%,19,19,100.0%,20,20,100.0%,22,22,100.0%,22,21,95.5%,20,20,100.0%,20,17,85.0%,18,16,88.9%,20,16,80.0%,18,15,83.3%,20,17,85.0%,20,15,75.0%,16,13,81.3%,18,15,83.3%,20,16,80.0%,18,16,88.9%,19,18,94.7%,18,18,100.0%,17,17,100.0%,20,20,100.0%,21,21,100.0%,22,22,100.0%,21,21,100.0%,21,19,90.5%,21,20,95.2%,22,21,95.5%,21,19,90.5%,22,19,86.4%,22,21,95.5%,22,18,81.8%,20,17,85.0%
RK5,Sherwood Forest Hospitals NHS Foundation Trust,11,11,100.0%,11,8,72.7%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,7,63.6%,11,7,63.6%,11,5,45.5%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,8,72.7%,11,8,72.7%,12,12,100.0%,11,9,81.8%,11,10,90.9%,11,10,90.9%,11,10,90.9%,11,8,72.7%,11,8,72.7%,11,8,72.7%,11,10,90.9%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,11,11,100.0%,12,12,100.0%,13,13,100.0%,13,13,100.0%,13,13,100.0%,13,13,100.0%,12,12,100.0%,13,13,100.0%,11,11,100.0%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,10,90.9%,12,12,100.0%,11,11,100.0%,13,13,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,11,11,100.0%,14,14,100.0%,13,13,100.0%,11,11,100.0%,11,11,100.0%,11,11,100.0%,11,11,100.0%,11,9,81.8%,12,12,100.0%,11,8,72.7%,11,7,63.6%,11,7,63.6%,11,7,63.6%,11,7,63.6%,11,10,90.9%,11,10,90.9%,13,13,100.0%,13,13,100.0%,13,13,100.0%,13,13,100.0%,11,10,90.9%,13,13,100.0%,11,11,100.0%,11,11,100.0%,11,10,90.9%,11,10,90.9%,11,10,90.9%,11,9,81.8%,11,11,100.0%,11,7,63.6%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,10,90.9%,11,8,72.7%,11,10,90.9%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,6,54.5%
RXW,Shrewsbury and Telford Hospital NHS Trust,19,16,84.2%,19,15,78.9%,19,13,68.4%,17,10,58.8%,17,11,64.7%,17,12,70.6%,16,9,56.3%,18,12,66.7%,18,12,66.7%,18,12,66.7%,20,17,85.0%,19,14,73.7%,18,13,72.2%,17,13,76.5%,19,15,78.9%,19,14,73.7%,18,13,72.2%,19,13,68.4%,17,10,58.8%,18,12,66.7%,19,12,63.2%,17,10,58.8%,19,12,63.2%,16,8,50.0%,16,13,81.3%,16,12,75.0%,16,12,75.0%,16,10,62.5%,17,13,76.5%,19,19,100.0%,18,17,94.4%,19,17,89.5%,17,15,88.2%,17,16,94.1%,18,17,94.4%,18,17,94.4%,18,17,94.4%,20,18,90.0%,17,16,94.1%,17,16,94.1%,17,16,94.1%,16,16,100.0%,18,18,100.0%,19,19,100.0%,19,19,100.0%,20,19,95.0%,18,18,100.0%,17,16,94.1%,18,18,100.0%,19,19,100.0%,17,16,94.1%,15,13,86.7%,18,17,94.4%,19,19,100.0%,16,13,81.3%,16,13,81.3%,15,12,80.0%,16,14,87.5%,16,13,81.3%,18,17,94.4%,18,18,100.0%,17,16,94.1%,17,16,94.1%,17,16,94.1%,18,18,100.0%,19,19,100.0%,17,16,94.1%,21,20,95.2%,19,18,94.7%,20,20,100.0%,19,19,100.0%,19,17,89.5%,20,20,100.0%,17,16,94.1%,18,16,88.9%,18,15,83.3%,18,15,83.3%,18,15,83.3%,20,17,85.0%,17,14,82.4%,15,15,100.0%,18,15,83.3%,17,14,82.4%,18,14,77.8%,18,15,83.3%,17,15,88.2%,17,14,82.4%,18,16,88.9%,18,16,88.9%,18,16,88.9%,18,16,88.9%
RJC,South Warwickshire NHS Foundation Trust,7,4,57.1%,7,4,57.1%,7,5,71.4%,7,5,71.4%,7,5,71.4%,7,3,42.9%,7,1,14.3%,7,5,71.4%,7,5,71.4%,7,4,57.1%,7,7,100.0%,7,4,57.1%,7,4,57.1%,7,4,57.1%,7,4,57.1%,7,5,71.4%,7,3,42.9%,7,2,28.6%,7,2,28.6%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,4,57.1%,7,4,57.1%,7,6,85.7%,7,6,85.7%,7,6,85.7%,7,5,71.4%,7,4,57.1%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,2,28.6%,7,4,57.1%,7,1,14.3%,7,2,28.6%,7,5,71.4%,7,5,71.4%,7,4,57.1%,7,4,57.1%,7,6,85.7%,7,6,85.7%,7,7,100.0%,7,4,57.1%,7,4,57.1%,7,0,0.0%,7,7,100.0%,7,6,85.7%,7,5,71.4%,7,5,71.4%,7,6,85.7%,7,4,57.1%,7,5,71.4%,7,6,85.7%,7,7,100.0%,7,7,100.0%,7,7,100.0%,7,5,71.4%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,6,85.7%,7,4,57.1%,7,4,57.1%,7,5,71.4%,7,5,71.4%,7,5,71.4%,7,7,100.0%,7,6,85.7%,7,7,100.0%,7,7,100.0%,7,5,71.4%,7,5,71.4%,7,6,85.7%,7,5,71.4%,7,5,71.4%,7,6,85.7%,7,6,85.7%,7,4,57.1%,7,5,71.4%,7,6,85.7%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,3,42.9%,7,4,57.1%,7,7,100.0%,7,7,100.0%
RAJ,Southend University Hospital NHS Foundation Trust,24,23,95.8%,25,25,100.0%,25,25,100.0%,24,24,100.0%,24,23,95.8%,24,22,91.7%,24,20,83.3%,25,25,100.0%,24,24,100.0%,24,23,95.8%,24,24,100.0%,24,21,87.5%,24,21,87.5%,24,22,91.7%,24,23,95.8%,24,23,95.8%,24,23,95.8%,24,20,83.3%,24,23,95.8%,24,23,95.8%,24,21,87.5%,24,23,95.8%,24,23,95.8%,24,21,87.5%,24,24,100.0%,25,25,100.0%,24,21,87.5%,24,21,87.5%,24,20,83.3%,24,19,79.2%,24,23,95.8%,24,23,95.8%,24,24,100.0%,26,26,100.0%,25,25,100.0%,24,23,95.8%,25,25,100.0%,24,24,100.0%,24,24,100.0%,24,22,91.7%,24,22,91.7%,24,23,95.8%,25,25,100.0%,24,22,91.7%,24,23,95.8%,25,25,100.0%,24,0,0.0%,24,0,0.0%,24,0,0.0%,27,27,100.0%,28,28,100.0%,27,27,100.0%,24,24,100.0%,24,23,95.8%,25,25,100.0%,24,23,95.8%,26,26,100.0%,25,25,100.0%,25,25,100.0%,27,27,100.0%,27,27,100.0%,27,27,100.0%,27,27,100.0%,25,25,100.0%,25,25,100.0%,24,24,100.0%,29,29,100.0%,25,25,100.0%,27,27,100.0%,26,26,100.0%,28,28,100.0%,25,25,100.0%,24,24,100.0%,24,24,100.0%,26,26,100.0%,27,27,100.0%,25,25,100.0%,25,25,100.0%,25,25,100.0%,27,27,100.0%,27,27,100.0%,24,24,100.0%,24,22,91.7%,24,23,95.8%,26,26,100.0%,26,26,100.0%,24,22,91.7%,27,27,100.0%,25,25,100.0%,24,24,100.0%,24,24,100.0%
RNA,The Dudley Group NHS Foundation Trust,22,18,81.8%,23,21,91.3%,21,18,85.7%,22,17,77.3%,22,17,77.3%,21,16,76.2%,22,19,86.4%,21,18,85.7%,21,19,90.5%,21,19,90.5%,20,19,95.0%,20,15,75.0%,20,15,75.0%,22,16,72.7%,23,19,82.6%,23,15,65.2%,21,15,71.4%,21,17,81.0%,23,17,73.9%,21,16,76.2%,23,20,87.0%,21,17,81.0%,20,16,80.0%,22,16,72.7%,21,16,76.2%,22,17,77.3%,21,16,76.2%,22,17,77.3%,21,19,90.5%,21,18,85.7%,20,20,100.0%,21,21,100.0%,22,18,81.8%,22,18,81.8%,24,22,91.7%,22,21,95.5%,25,25,100.0%,26,26,100.0%,25,24,96.0%,22,22,100.0%,21,21,100.0%,22,21,95.5%,22,21,95.5%,22,22,100.0%,23,23,100.0%,21,21,100.0%,20,17,85.0%,20,17,85.0%,21,18,85.7%,21,19,90.5%,21,19,90.5%,22,20,90.9%,22,19,86.4%,20,16,80.0%,22,18,81.8%,23,19,82.6%,24,22,91.7%,23,20,87.0%,22,21,95.5%,20,19,95.0%,21,16,76.2%,22,19,86.4%,21,17,81.0%,21,17,81.0%,20,19,95.0%,22,21,95.5%,22,21,95.5%,22,22,100.0%,20,18,90.0%,20,20,100.0%,22,21,95.5%,22,21,95.5%,22,22,100.0%,21,19,90.5%,20,18,90.0%,21,16,76.2%,21,19,90.5%,21,19,90.5%,21,20,95.2%,21,19,90.5%,22,20,90.9%,20,16,80.0%,21,15,71.4%,24,19,79.2%,22,18,81.8%,21,19,90.5%,22,20,90.9%,21,17,81.0%,20,15,75.0%,22,17,77.3%,23,20,87.0%
RQW,The Princess Alexandra Hospital NHS Trust,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,10,100.0%,10,9,90.0%,10,7,70.0%,10,7,70.0%,10,7,70.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%,10,7,70.0%,10,8,80.0%,10,9,90.0%,10,8,80.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,6,60.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",13,11,84.6%,13,10,76.9%,13,11,84.6%,13,10,76.9%,13,10,76.9%,13,10,76.9%,13,9,69.2%,13,9,69.2%,13,9,69.2%,13,12,92.3%,13,10,76.9%,13,6,46.2%,13,4,30.8%,13,4,30.8%,13,4,30.8%,13,6,46.2%,13,6,46.2%,13,7,53.8%,13,7,53.8%,13,9,69.2%,13,11,84.6%,13,9,69.2%,13,10,76.9%,13,9,69.2%,12,7,58.3%,13,6,46.2%,13,6,46.2%,13,8,61.5%,13,8,61.5%,13,8,61.5%,13,8,61.5%,13,8,61.5%,13,9,69.2%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,11,84.6%,13,11,84.6%,13,9,69.2%,13,9,69.2%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,10,76.9%,13,9,69.2%,13,0,0.0%,13,10,76.9%,13,11,84.6%,13,10,76.9%,13,10,76.9%,13,8,61.5%,13,10,76.9%,13,10,76.9%,13,10,76.9%,13,11,84.6%,13,9,69.2%,13,9,69.2%,13,10,76.9%,13,10,76.9%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,10,76.9%,13,10,76.9%,13,11,84.6%,13,11,84.6%,13,8,61.5%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,12,92.3%,13,12,92.3%,13,12,92.3%,13,8,61.5%,13,8,61.5%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,11,84.6%,13,9,69.2%,13,7,53.8%,13,9,69.2%,13,2,15.4%,13,2,15.4%,13,9,69.2%,13,9,69.2%,13,10,76.9%,13,10,76.9%,13,10,76.9%,13,10,76.9%
RL4,The Royal Wolverhampton NHS Trust,28,18,64.3%,28,23,82.1%,28,18,64.3%,28,13,46.4%,28,15,53.6%,28,12,42.9%,28,11,39.3%,28,12,42.9%,28,16,57.1%,28,13,46.4%,28,14,50.0%,28,16,57.1%,28,10,35.7%,28,12,42.9%,28,16,57.1%,28,19,67.9%,28,21,75.0%,28,20,71.4%,28,17,60.7%,28,17,60.7%,28,13,46.4%,28,18,64.3%,28,14,50.0%,28,17,60.7%,28,23,82.1%,28,20,71.4%,28,18,64.3%,28,20,71.4%,28,19,67.9%,28,21,75.0%,28,21,75.0%,28,18,64.3%,28,21,75.0%,28,19,67.9%,28,21,75.0%,28,22,78.6%,28,20,71.4%,28,21,75.0%,28,25,89.3%,28,20,71.4%,28,20,71.4%,28,19,67.9%,28,20,71.4%,28,24,85.7%,28,24,85.7%,28,22,78.6%,28,20,71.4%,28,20,71.4%,28,20,71.4%,28,19,67.9%,28,22,78.6%,28,24,85.7%,28,23,82.1%,28,21,75.0%,28,17,60.7%,28,18,64.3%,28,21,75.0%,28,22,78.6%,28,19,67.9%,28,19,67.9%,28,21,75.0%,28,18,64.3%,28,18,64.3%,28,20,71.4%,28,20,71.4%,28,18,64.3%,28,21,75.0%,28,21,75.0%,28,16,57.1%,28,16,57.1%,28,18,64.3%,28,19,67.9%,28,21,75.0%,28,23,82.1%,28,19,67.9%,28,20,71.4%,28,21,75.0%,28,23,82.1%,28,24,85.7%,28,21,75.0%,28,24,85.7%,29,19,65.5%,29,16,55.2%,28,16,57.1%,28,18,64.3%,28,18,64.3%,28,22,78.6%,28,21,75.0%,28,18,64.3%,28,18,64.3%,28,18,64.3%
RWD,United Lincolnshire Hospitals NHS Trust,32,24,75.0%,32,20,62.5%,32,12,37.5%,32,19,59.4%,31,20,64.5%,31,21,67.7%,32,16,50.0%,32,22,68.8%,31,25,80.6%,32,27,84.4%,31,22,71.0%,31,21,67.7%,31,11,35.5%,32,20,62.5%,33,22,66.7%,32,23,71.9%,32,23,71.9%,32,25,78.1%,31,21,67.7%,32,20,62.5%,32,20,62.5%,31,14,45.2%,31,14,45.2%,32,15,46.9%,32,16,50.0%,31,19,61.3%,32,23,71.9%,32,22,68.8%,31,23,74.2%,31,21,67.7%,31,21,67.7%,31,22,71.0%,31,21,67.7%,31,22,71.0%,31,22,71.0%,32,24,75.0%,32,24,75.0%,31,26,83.9%,31,29,93.5%,31,25,80.6%,32,24,75.0%,32,23,71.9%,32,25,78.1%,31,25,80.6%,32,26,81.3%,32,15,46.9%,31,21,67.7%,32,24,75.0%,32,25,78.1%,31,22,71.0%,31,22,71.0%,31,25,80.6%,32,25,78.1%,31,25,80.6%,31,26,83.9%,32,22,68.8%,32,25,78.1%,32,26,81.3%,33,26,78.8%,31,24,77.4%,32,23,71.9%,32,25,78.1%,32,24,75.0%,32,24,75.0%,32,25,78.1%,31,24,77.4%,32,22,68.8%,32,22,68.8%,31,20,64.5%,32,21,65.6%,32,25,78.1%,32,25,78.1%,31,26,83.9%,32,25,78.1%,32,26,81.3%,31,26,83.9%,32,23,71.9%,31,24,77.4%,32,29,90.6%,31,27,87.1%,32,28,87.5%,31,23,74.2%,31,24,77.4%,31,25,80.6%,31,22,71.0%,31,20,64.5%,31,19,61.3%,32,24,75.0%,32,22,68.8%,31,19,61.3%,32,19,59.4%
RRK,University Hospitals Birmingham NHS Foundation Trust,100,84,84.0%,105,92,87.6%,97,78,80.4%,107,97,90.7%,103,92,89.3%,100,91,91.0%,100,91,91.0%,99,91,91.9%,106,99,93.4%,109,104,95.4%,106,100,94.3%,105,98,93.3%,104,75,72.1%,107,99,92.5%,106,98,92.5%,106,100,94.3%,106,97,91.5%,105,95,90.5%,102,93,91.2%,100,84,84.0%,100,79,79.0%,95,60,63.2%,94,61,64.9%,83,73,88.0%,96,52,54.2%,95,83,87.4%,97,85,87.6%,92,61,66.3%,96,64,66.7%,97,93,95.9%,101,97,96.0%,107,101,94.4%,107,103,96.3%,106,96,90.6%,107,102,95.3%,108,105,97.2%,105,101,96.2%,104,101,97.1%,101,97,96.0%,103,93,90.3%,103,96,93.2%,102,96,94.1%,103,100,97.1%,100,99,99.0%,104,97,93.3%,103,100,97.1%,105,76,72.4%,105,76,72.4%,108,99,91.7%,108,107,99.1%,110,107,97.3%,108,104,96.3%,109,106,97.2%,108,105,97.2%,107,102,95.3%,105,101,96.2%,103,99,96.1%,100,97,97.0%,104,102,98.1%,104,103,99.0%,106,105,99.1%,104,104,100.0%,105,101,96.2%,102,91,89.2%,100,96,96.0%,106,99,93.4%,107,102,95.3%,105,98,93.3%,106,95,89.6%,104,86,82.7%,101,89,88.1%,107,94,87.9%,106,98,92.5%,104,94,90.4%,101,95,94.1%,101,95,94.1%,100,91,91.0%,102,92,90.2%,106,97,91.5%,104,98,94.2%,100,92,92.0%,101,95,94.1%,98,91,92.9%,98,91,92.9%,102,97,95.1%,107,100,93.5%,101,99,98.0%,101,94,93.1%,97,91,93.8%,98,87,88.8%,101,89,88.1%
